"";
"Empresa";"1 - Ruppenthal Engenharia e Construção Ltda";
"Período";"01/05/2025 a 31/10/2027";"Data do cálculo";"12/05/2026";
"Juros";"0,00";"Multa";"0,00";
"Após Vencto - Indexador";"0 REAL";
"";
"Centro de Custo: ";"4 - Orla de Ipanema";
"Credor";"Documento";"Lançamento";"Qt.";"Ind.";"Data vencto";"%";"Dias";"Valor no vencto";"Acréscimo";"Desconto";"Total";
"                          Obs: CONEXÕES DE FERRO FUNDINDO
CARTÃO DE CREDITO SANTANDER";
"BERESIL MATERIAIS DE CONSTRUCAO LTDA";"NFM. 54648";"3831/1";"1";"0";"09/04/2026";"100,00";"33";"108,60";"0,00";"0,00";"108,60";
"BERESIL MATERIAIS DE CONSTRUCAO LTDA";"NFM. 54981";"4725/1";"1";"0";"05/06/2026";"100,00";"0";"1.002,00";"0,00";"0,00";"1.002,00";
"BERESIL MATERIAIS DE CONSTRUCAO LTDA";"NFM. 54984";"4742/1";"1";"0";"05/06/2026";"100,00";"0";"286,05";"0,00";"0,00";"286,05";
"BERESIL MATERIAIS DE CONSTRUCAO LTDA";"NFM. 54983";"4753/1";"1";"0";"05/06/2026";"100,00";"0";"2.070,60";"0,00";"0,00";"2.070,60";
"COMERCIAL DE AREIA CAROCHA LTDA";"NFS. 15042026";"4461/1";"3";"0";"08/05/2026";"100,00";"4";"8.800,00";"0,00";"0,00";"8.800,00";
"                          Obs: CHEQUES SANTANDER 
CHEQUE 44 R$ 8800,00 - 10/05
CHEQUE 45 R$ 8800,00- 27/05
CHEQUE 46 R$ 9019,20- 17/06";
"COMERCIAL DE AREIA CAROCHA LTDA";"NFS. 15042026";"4461/2";"3";"0";"25/05/2026";"100,00";"0";"8.800,00";"0,00";"0,00";"8.800,00";
"                          Obs: CHEQUES SANTANDER 
CHEQUE 44 R$ 8800,00 - 10/05
CHEQUE 45 R$ 8800,00- 27/05
CHEQUE 46 R$ 9019,20- 17/06";
"COMERCIAL DE AREIA CAROCHA LTDA";"NFS. 15042026";"4461/3";"3";"0";"15/06/2026";"100,00";"0";"9.019,20";"0,00";"0,00";"9.019,20";
"                          Obs: CHEQUES SANTANDER 
CHEQUE 44 R$ 8800,00 - 10/05
CHEQUE 45 R$ 8800,00- 27/05
CHEQUE 46 R$ 9019,20- 17/06";
"Construtora Sultepa As";"NFM. 175179";"4302/1";"1";"0";"30/04/2026";"100,00";"12";"1.281,50";"0,00";"0,00";"1.281,50";
"Construtora Sultepa As";"NFM. 175216";"4303/1";"1";"0";"30/04/2026";"100,00";"12";"1.238,05";"0,00";"0,00";"1.238,05";
"Construtora Sultepa As";"NFM. 175200";"4304/1";"1";"0";"30/04/2026";"100,00";"12";"1.223,75";"0,00";"0,00";"1.223,75";
"FERNANDO ISMAEL GOTTSCHALK 00799527041";"NFM. 011225";"2375/3";"4";"0";"10/05/2026";"100,00";"2";"1.089,00";"0,00";"0,00";"1.089,00";
"                          Obs: PLACA PARA ENTRADA DO LOTEAMENTO
CARTÃO BANRISUL
PARCELA 03 E 4 NÃO FOI COBRADO NOS MESES ANTERIORES.";
"FERNANDO ISMAEL GOTTSCHALK 00799527041";"NFM. 011225";"2375/4";"4";"0";"10/05/2026";"100,00";"2";"1.089,00";"0,00";"0,00";"1.089,00";
"                          Obs: PLACA PARA ENTRADA DO LOTEAMENTO
CARTÃO BANRISUL
PARCELA 03 E 4 NÃO FOI COBRADO NOS MESES ANTERIORES.";
"GERO GESTAO DE LANCAMENTOS LTDA";"NFS. 1105";"4813/1";"1";"0";"16/05/2026";"100,00";"0";"3.000,00";"0,00";"0,00";"3.000,00";
"                          Obs: ANUNCIOS";
